MSOA11CD,RGN19NM,DeathRate,Deaths,Score,Extent,Proportion
E02000308,London,105.62140593827016,9,21.13370355592067,0.05747379539095358,0.2
E02000309,London,136.986301369863,17,38.138633843674455,0,0.8333333333333334
E02000311,London,165.7000828500414,18,26.72891245512289,0,0.3333333333333333
E02000312,London,110.41277390861221,13,19.590825972481742,0,0
E02000313,London,66.93440428380187,5,29.003881927710843,0,0.25
E02000314,London,80.87594873709095,13,23.223361142217247,0,0.14285714285714285
E02000315,London,93.27391439527412,9,36.05792797181055,0.04072715470924175,0.8
E02000316,London,46.268755370480534,7,21.847927622446957,0.051888843663789645,0.25
E02000317,London,97.96718099436688,8,31.97109649767328,0,0.6
E02000318,London,85.55133079847909,9,26.50455769961977,0,0.2
E02000319,London,59.82394667122468,7,24.213425775574734,0.009836766088368504,0.16666666666666666
E02000320,London,136.4256480218281,10,22.94607994542974,0.0956580742442737,0.25
E02000321,London,77.89173049461249,6,32.922092042061536,0,0.5
E02000323,London,114.72950313299796,13,32.323049068925954,0,0.5
E02000324,London,138.64381144441643,11,29.289333501386437,0,0.25
E02000326,London,67.05109293281481,5,20.66863510795226,0.09053309147886476,0.25
E02000327,London,140.27212792818068,10,30.23002973769112,0,0.25
E02000328,London,145.5604075691412,10,16.77978442503639,0,0
E02000329,London,77.8694907335306,5,19.52330680579349,0,0
E02000331,London,107.60401721664275,9,29.248747967479673,0.11940050089355382,0.25
E02000332,London,39.37524609528809,3,15.965559915999474,0,0
E02000333,London,92.53547193090685,6,13.942685687847007,0,0
E02000334,London,151.08022359873092,10,25.875206073424987,0,0.25
E02000335,London,87.82201405152225,6,11.379363144028105,0,0
E02000337,London,96.79370840895342,8,30.73723182093164,0,0.2
E02000339,London,110.98779134295228,7,17.065983827493262,0,0
E02000340,London,14.999250037498125,1,14.810212989350532,0,0
E02000341,London,109.51569724993917,9,38.42166549038695,0,1
E02000342,London,32.21649484536083,2,21.487175579896906,0,0
E02000343,London,130.13302486986697,9,25.555351214574898,0.04955404706097225,0.25
E02000344,London,259.6609133954483,17,12.905199327936458,0,0
E02000345,London,103.31645831180907,10,29.01084399214795,0,0
E02000346,London,134.52366393542863,11,47.17738106885165,0,1
E02000347,London,79.02461052156242,7,28.98604402799729,0,0.2
E02000348,London,165.72754391779915,15,33.40551927963761,0,0.6
E02000350,London,109.3983092988563,11,24.327444157135755,0,0
E02000351,London,71.04435197401807,7,27.743231503095505,0,0.3333333333333333
E02000352,London,179.7566371681416,13,26.05021653761062,0,0
E02000353,London,110.01100110011001,9,23.539560444933382,0,0
E02000354,London,93.79983116030391,10,34.895714098114624,0,0.8333333333333334
E02000355,London,161.98704103671707,15,28.72469654427646,0,0
E02000356,London,53.973822695992446,4,23.816041964647148,0,0
E02000357,London,122.0814893941706,8,43.04021730505112,0,1
E02000358,London,92.32835319791842,11,31.958908007386267,0.0350547343682355,0.16666666666666666
E02000359,London,89.82035928143712,6,30.722445359281437,0,0
E02000360,London,65.87072869493619,8,36.639842157266365,0,0.6666666666666666
E02000361,London,32.83712784588441,3,33.09117907180385,0,0.5
E02000362,London,13.347570742124933,1,42.18491764548852,0.0949198443251749,1
E02000363,London,101.02710894089914,12,42.09685410001684,0,1
E02000364,London,105.14242018734468,11,28.021174249665457,0,0
E02000365,London,71.02272727272728,11,29.872129261363636,0,0.375
E02000366,London,75.47983610092733,7,34.1375618934656,0.08972764832071553,0.4
E02000367,London,59.76775956284153,7,31.793760160519124,0.08041504889272359,0.5
E02000368,London,93.97613006296402,10,37.558079127901514,0,0.8333333333333334
E02000369,London,136.22122326658493,20,35.059592357989374,0.0059120010897697785,0.6666666666666666
E02000370,London,99.40357852882703,10,31.673850397614313,0.06561944124725332,0.5
E02000371,London,30.36007043536341,5,28.46968619831198,0,0.42857142857142855
E02000372,London,112.37102870569007,11,32.13580549596485,0,0.8
E02000373,London,0,0,39.212235365117685,0,1
E02000374,London,177.33116595241611,12,28.317059110388648,0.05251880254796884,0.25
E02000375,London,13.993842709207948,1,31.10409963616009,0.04696444090915785,0.25
E02000376,London,58.19874872690237,4,30.262534555507056,0,0.25
E02000377,London,97.72782799902272,8,28.280367334473492,0,0
E02000378,London,77.35148514851485,5,23.606433941831682,0.06461047420531525,0.25
E02000379,London,316.13555892766817,25,19.391651365705616,0.012171219018715209,0
E02000380,London,69.72285166463308,4,17.604778978560223,0,0
E02000381,London,63.083522583901086,5,19.87099318697956,0,0
E02000382,London,33.93857118615306,2,21.679307653147802,0,0
E02000383,London,135.3027398804826,12,17.432393054459354,0.03215843476093548,0.16666666666666666
E02000384,London,281.7657319200322,21,32.98651522876694,0.03778697380779198,0.6
E02000385,London,51.107325383304946,3,17.397761669505964,0,0
E02000386,London,74.63614877472322,6,30.924828212464238,0.1369835211239942,0.6
E02000387,London,133.7792642140468,8,22.055529598662208,0,0
E02000388,London,195.58214450069028,17,19.74146111366774,0,0
E02000389,London,94.01809848395816,8,11.342212950993066,0,0
E02000390,London,31.665611146295124,2,18.360803673210892,0,0
E02000391,London,86.7195242814668,7,17.258020564915757,0.017152861092274783,0
E02000392,London,31.63555836760519,3,17.804595064852894,0.09814654478651548,0.16666666666666666
E02000393,London,33.738191632928476,2,9.283744601889339,0,0
E02000394,London,64.62731581214993,6,19.887168569582077,0,0
E02000395,London,31.994880819068946,2,10.71407342825148,0,0
E02000396,London,42.3728813559322,3,18.075839265536725,0,0
E02000397,London,116.80878402055835,10,26.051967877584396,0,0.25
E02000398,London,139.86013986013987,11,49.845574698029246,0,1
E02000400,London,98.78982464806124,8,21.626855890343297,0,0
E02000401,London,136.28104179285282,9,43.106835554209574,0,1
E02000402,London,60.49606775559589,4,41.289301724137935,0,1
E02000403,London,73.01935012778387,6,25.19721723256663,0,0
E02000404,London,103.38588782631172,8,31.859484750581547,0,0.5
E02000405,London,140.66895904970303,9,11.832701156611442,0,0
E02000406,London,83.61204013377926,6,33.50075418060201,0,0.5
E02000407,London,118.28098304639244,9,40.33372992508871,0,1
E02000408,London,177.59886336727445,15,37.70740906938195,0.011549846080985067,0.75
E02000409,London,97.46588693957115,6,39.66201494476933,0.27653209534557643,0.5
E02000410,London,30.23888720895071,2,11.092613244632597,0,0
E02000411,London,83.41829641301325,9,32.69896403744555,0,0.75
E02000412,London,128.68356710848025,10,34.360211941835026,0.09957805335627058,0.5
E02000413,London,92.4092409240924,7,15.280041452145214,0,0
E02000414,London,155.19187358916477,11,29.50265702595937,0,0
E02000415,London,82.34971177600879,6,27.526282459511393,0,0.25
E02000416,London,86.05851979345955,7,28.458381239242684,0.015430033776351373,0.2
E02000417,London,106.56112041406607,7,13.79965869995433,0,0
E02000418,London,93.61542782250515,5,11.886266429507582,0,0
E02000419,London,89.14642299977714,8,25.43025651883218,0,0.25
E02000420,London,145.43691673736518,12,35.53816107138528,0,0.75
E02000421,London,314.8462097360135,26,41.23519871639622,0.07730462326802716,0.75
E02000422,London,143.1980906921241,12,29.52848126491647,0,0
E02000423,London,93.87153010594072,7,23.000643019981222,0,0
E02000424,London,44.36557231588288,3,19.715209997042294,0,0
E02000425,London,152.07198073754913,12,27.809776707641618,0,0.25
E02000426,London,130.95432967752495,8,15.363522671468324,0,0
E02000427,London,101.40518615094888,7,25.96954541503694,0.013356511661596389,0.25
E02000428,London,133.38183581908572,11,30.977697587001337,0,0.5
E02000429,London,87.04482808646452,6,13.429192223995358,0,0
E02000430,London,70.70135746606334,5,15.088813207013574,0,0
E02000431,London,16.385384237260364,1,13.944079305259708,0,0
E02000432,London,81.64598301763553,5,23.3536206727629,0,0
E02000433,London,364.5200486026731,30,12.53844872417983,0,0
E02000434,London,280.986575085857,27,14.843896451243625,0,0
E02000435,London,167.24559372185772,13,20.359431364981344,0.1244364771442307,0.25
E02000436,London,198.4484935955259,11,7.920881652534728,0,0
E02000437,London,268.2528574760905,23,16.671456613016097,0,0
E02000438,London,266.3960421159457,21,17.82353710516301,0.13412740273873824,0.2
E02000439,London,121.62759840778418,11,18.488281291463956,0,0
E02000440,London,114.14340562415688,11,10.399544256511362,0,0
